name,description,date,views,comments
"Что есть, чтобы хорошо соображать","Питание, улучшающее умственную активность, — целая наука. Какие продукты помогают мозгу работать эффективнее? Рассказывают эксперты.",27 марта 2019,12090,41
 Что показала Apple на мартовской презентации,Четыре платных сервиса — два новых и два обновленных — и ни одного устройства.,26 марта 2019,6301,7
IoT-хакатон: освой интернет вещей и выиграй 100 000 ₽!,Первый совместный хакатон Ростелекома и GeekBrains — первое погружение в IoT-задачи.,24 марта 2019,6715,14
"Настолки, которые прокачают рабочие навыки",IT-специалисты советуют любимые настольные игры.,22 марта 2019,12677,9
Топ-18 UX-дизайнеров в Instagram 2019,"Ленты с примерами контента, полезными советами и источниками вдохновения для UX-дизайнеров.",21 марта 2019,21225,2
Как перестать нервничать на работе,"Не бывает работы совсем без стресса, поэтому каждый должен уметь с ним справляться",19 марта 2019,20168,16
10 сайтов для любознательных,"Подборка образовательных ресурсов, которые помогут развиваться в разных сферах.",18 марта 2019,10834,2
"«Мой круг» узнал, как приходят в IT",В исследовании приняли участие 2 000 стажеров и джуниоров.,15 марта 2019,11059,9
Стартует курс «Маркетинг для предпринимателей»,"Мы запустили практический онлайн-курс по маркетингу для предпринимателей, СЕО стартапов и тех, кто хочет выстроить процессы маркетинга.",14 марта 2019,8215,0
Страх и ненависть искусственного интеллекта: проблемы этики,"Пока человечество размышляет над тем, как загнать ИИ в рамки морали, не мешало бы подумать об этике по отношению к роботам.",13 марта 2019,15199,27
Как стать Android-разработчиком — интервью с деканом,"Что происходит в Android-разработке, зачем учить Kotlin, какой стартовый опыт вы получите в GU",13 марта 2019,9488,8
Как проходят собеседования в крупных компаниях,"Мы поговорили со студентами GeekBrains об интервью, тестовых и службе безопасности",11 марта 2019,14797,8
Методологии разработки ПО: Kanban,GeekBrains продолжает серию статей о методологиях разработки программного обеспечения. Сегодня поговорим о системе Kanban.,08 марта 2019,25268,2
Сеньор-маркетинг: что это и как с ним работать,"Пока мы наблюдали за битвами снэпчата, фэйсбука и инстаграма, бабушки и дедушки во всем мире вышли в Сеть со своих телефонов.",06 марта 2019,6968,1
IT-тренды: из 2018 в 2019,"Города становятся умнее, а развитие быстрого интернета тормозит старый добрый шпионаж.",05 марта 2019,7687,11
Налоги и фриланс в 2019 году: кому это нужно?,Специальный налоговый режим: что это и для чего он существует?,04 марта 2019,22340,35
Нестандартные решения для ведения списков,"Подборка полезных, но малоизвестных таск-менеджеров — соло и в связке с другими сервисами — для тех, кому не подходят Trello и Wunderlist.​​",03 марта 2019,18537,2
20 UX-элементов с открытым кодом,"Подборка талантливых работ, опубликованных на Codepen.",01 марта 2019,9186,4
"Игры, чтобы попрактиковаться в вёрстке","Специально для вас мы нашли инструменты, которые помогут практиковаться в HTML и CSS в игровой форме.  ",28 февраля 2019,77761,16
